"chemical","cas"
"25057-89-0","II"
"25311-71-1","O"
"25319-90-8","II"
"25366-23-8","II"
"25954-13-6","III"
"26002-80-2","U"
"26087-47-8","II"
"26129-32-8","O"
"26225-79-6","U"
"26259-45-0","O"
"26399-36-0","O"
"26530-20-1","II"
"26644-46-2","U"
"26766-27-8","O"
"27314-13-2","II"
"27355-22-2","U"
"27386-64-7","O"
"27541-88-4","O"
"27605-76-1","III"
"28217-97-2","O"
"28249-77-6","II"
"28434-01-7","U"
"28559-00-4","O"
"28772-56-7","Ia"
"28805-78-9","O"
"29091-05-2","III"
"29091-21-2","U"
"29104-30-1","O"
"29173-31-7","O"
"29232-93-7","II"
"29973-13-5","Ib"
"30043-49-3","O"
"30560-19-1","II"
"30979-48-7","O"
"31218-83-4","Ib"
"31251-03-3","O"
"31848-11-0","O"
"31895-22-4","II"
"32407-99-1","O"
"32534-96-6","O"
"32791-87-0","U"
"32809-16-8","U"
"32861-85-1","O"
"33089-61-1","II"
"33245-39-5","II"
"33629-47-9","II"
"33693-04-8","II"
"33820-53-0","O"
"34014-18-1","II"
"34123-59-6","II"
"34205-21-5","III"
"34256-82-1","III"
"34264-24-9","O"
"34462-96-9","O"
"34643-46-4","II"
"34681-10-2","Ib"
"34681-23-7","Ib"
"35256-85-0","U"
"35367-38-5","III"
"35400-43-2","O"
"35554-44-0","II"
"35575-96-3","II"
"36335-67-8","II"
"36519-00-3","O"
"36614-38-7","O"
"36734-19-7","III"
"36756-79-3","U"
"37248-47-8","U"
"37407-77-5","O"
"37764-25-3","III"
"37893-02-0","III"
"37894-46-5","O"
"37924-13-3","O"
"38260-54-7","O"
"38727-55-8","O"
"39148-24-8","U"
"39196-18-4","Ib"
"39300-45-3","II"
"39515-40-7","II"
"39515-41-8","II"
"39603-48-0","O"
"40487-42-1","II"
"40596-69-8","U"
"40843-25-2","II"
"41083-11-8","II"
"41096-46-2","U"
"41198-08-7","II"
"41295-28-7","O"
"41394-05-2","II"
"41483-43-6","III"
"41814-78-2","II"
"42509-80-8","O"
"42576-02-3","U"
"42588-37-4","O"
"42609-52-9","U"
"42609-73-4","III"
"42874-03-3","U"
"43121-43-3","II"
"43222-48-6","II"
"50471-44-8","U"
"50512-35-1","II"
"50563-36-5","II"
"50594-66-6","II"
"51218-45-2","III"
"51218-49-6","U"
"51235-04-2","II"
"51308-54-4","O"
"51487-69-5","O"
"51630-58-1","II"
"51707-55-2","III"
"52304-36-6","U"
"52315-07-8","II"
"52645-53-1","II"
"52888-80-9","II"
"52918-63-5","II"
"53112-28-0","III"
"53780-34-0","II"
"54406-48-3","III"
"54593-83-8","Ia"
"54864-61-8","O"
"55179-31-2","U"
"55219-65-3","II"
"55283-68-6","U"
"55285-14-8","II"
"55290-64-7","II"
"55335-06-3","II"
"55511-98-3","O"
"55512-33-9","III"
"55634-91-8","III"
"55814-41-0","U"
"55861-78-4","II"
"56073-07-5","Ia"
"56073-10-0","Ia"
